site_name,site_address,site_phone,site_fax,site_city,site_state,site_zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"DHS Family Community Resource Center in Adams County","300 Maine St, 2nd floor","(217) 223-0550","(217) 223-4707",Quincy,IL," 62301",39.931731,-91.411405,1,rooftop,300,"Maine St",Ste,2,Quincy,IL,"Adams County",62301,US,Adams
"DHS Family Community Resource Center in Bureau County","225 Backbone Rd E #2","(815) 875-1134","(815) 879-0023",Princeton,IL," 61356",41.393544,-89.467653,1,range_interpolation,225,"Backbone Rd",#,2,Princeton,IL,"Bureau County",61356,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Cass County","300 East 2nd Street","(217) 323-4185","(217) 323-9023",Beardstown,IL," 62618",40.018025,-90.432441,1,range_interpolation,300,"E 2nd St",,,Beardstown,IL,"Cass County",62618,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Champaign County","705 N Country Fair Dr","(217) 278-5605","(217) 278-5661",Champaign,IL," 61821",40.124008,-88.28222,1,rooftop,705,"N Country Fair Dr",,,Champaign,IL,"Champaign County",61821,US,Champaign
"DHS Family Community Resource Center in Christian County","1100 N Cheney St","(217) 824-3389","(217) 824-3397",Taylorville,IL," 62568",39.560121,-89.306787,1,rooftop,1100,"N Cheney St~",,,Taylorville,IL,"Christian County",62568,US,Christian
"DHS Family Community Resource Center in Cook County - Calumet Park","831 W 119th St","(773) 660-4700","(773) 660-7142",Chicago,IL," 60643",41.677133,-87.64312,1,rooftop,831,"W 119th St",,,Chicago,IL,"Cook County",60643,US,Cook
"DHS Family Community Resource Center in Cook County - Englewood","5323 S Western Ave","(773) 918-6700","(773) 918-6767",Chicago,IL," 60609",41.797002,-87.683966,1,range_interpolation,5323,"S Western Ave",,,Chicago,IL,"Cook County",60609,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Cook County - Humboldt Park","2753 West North Avenue","(773) 292-7200","(773) 292-7224",Chicago,IL," 60647",41.909997,-87.69665,0.9,rooftop,2753,"W North Ave",,,Chicago,IL,"Cook County",60622,US,Cook
"DHS Family Community Resource Center in Cook County - Lower North","2650 West Fulton Street","(773) 638-7373","(773) 638-6099",Chicago,IL," 60612",41.88672,-87.692989,1,range_interpolation,2650,"W Fulton St",,,Chicago,IL,"Cook County",60612,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Cook County - Mid South","1642 W 59th St, 2nd Floor","(773) 863-6100","(773) 863-6207",Chicago,IL," 60636",41.787045,-87.666164,1,rooftop,1642,"W 59th St",Fl,2,Chicago,IL,"Cook County",60636,US,Cook
"DHS Family Community Resource Center in Cook County - North Suburban","3501 W Algonquin Rd - 4th Floor","(847) 483-7171","(847) 483-7290","Rolling Meadows",IL," 60008",42.061488,-88.023279,1,range_interpolation,3501,"W Algonquin Rd",Fl,4,"Rolling Meadows",IL,"Cook County",60008,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Cook County - Northern","8001 Lincoln Ave - 4th Floor","(847) 745-3200","(847) 745-3279",Skokie,IL," 60077",42.026604,-87.753425,1,rooftop,8001,"Lincoln Ave",Fl,4,Skokie,IL,"Cook County",60077,US,Cook
"DHS Family Community Resource Center in Cook County - Northside","6200 N Hiawatha Ave, 5th Floor","(773) 907-4100","(773) 907-4259",Chicago,IL," 60646",41.993427,-87.749948,1,rooftop,6200,"N Hiawatha Ave",Fl,5,Chicago,IL,"Cook County",60646,US,"City of Chicago"
"DHS Family Community Resource Center in Cook County - Northwest","4105 West Chicago Avenue","(773) 265-7000","(773) 265-7103",Chicago,IL," 60651",41.894579,-87.72908,1,rooftop,4105,"W Chicago Ave",,,Chicago,IL,"Cook County",60651,US,"City of Chicago"
"DHS Family Community Resource Center in Cook County - Ogden","3920 West Ogden Avenue","(773) 522-8370","(773) 522-8214",Chicago,IL," 60623",41.852138,-87.722999,1,rooftop,3920,"W Ogden Ave",,,Chicago,IL,"Cook County",60623,US,Cook
"DHS Family Community Resource Center in Cook County - Roseland","11203 S Ellis Ave","(773) 660-7000","(773) 660-7100",Chicago,IL," 60628",41.690621,-87.604325,1,rooftop,11203,"S Ellis Ave",,,Chicago,IL,"Cook County",60628,US,Cook
"DHS Family Community Resource Center in Cook County - South Loop","1112 South Wabash Avenue","(312) 793-7500","(312) 793-7671",Chicago,IL," 60605",41.868794,-87.626356,1,rooftop,1112,"S Wabash Ave",,,Chicago,IL,"Cook County",60605,US,"City of Chicago"
"DHS Family Community Resource Center in Cook County - South Suburban","3301 Wireton Rd","(708) 293-4700","(708) 293-4741","Blue Island",IL," 60406",41.66067,-87.701723,1,rooftop,3301,"Wireton Rd",,,"Blue Island",IL,"Cook County",60406,US,Cook
"DHS Family Community Resource Center in Cook County - Southeast","8001 S Cottage Grove Ave","(773) 602-4200","(773) 602-4344",Chicago,IL," 60619",41.749325,-87.604776,1,rooftop,8001,"S Cottage Grove Ave",,,Chicago,IL,"Cook County",60619,US,"City of Chicago"
"DHS Family Community Resource Center in Cook County - Stroger - Temporarily Closed","1701 S. First Avenue, Suite 100 & 200","(312) 433-3300","(312) 433-3348",Maywood,IL," 60153",41.87214,-87.832694,1,rooftop,1701,"S 1st Ave",Ste,100,Maywood,IL,"Cook County",60153,US,Cook
"DHS Family Community Resource Center in Cook County - West Suburban","2701 West Lake Street","(708) 338-7600","(708) 338-7638","Melrose Park",IL," 60160",41.895797,-87.866853,1,rooftop,2701,"W Lake St",,,"Melrose Park",IL,"Cook County",60160,US,Cook
"DHS Family Community Resource Center in Cook County - Woodlawn - Temporarily Closed","915 E 63rd St","(773) 753-2406","(773) 753-5282",Chicago,IL," 60637",41.780227,-87.602524,1,rooftop,915,"E 63rd St",,,Chicago,IL,"Cook County",60637,US,"City of Chicago"
"DHS Family Community Resource Center in Crawford County","1110 North Allen Street","(618) 544-3151","(618) 544-9543",Robinson,IL," 62454",39.014394,-87.748832,1,range_interpolation,1110,"N Allen St",,,Robinson,IL,"Crawford County",62454,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in DeKalb County","1629 Afton Road","(815) 895-8667","(815) 895-8679",Sycamore,IL," 60178",41.97119,-88.702453,1,range_interpolation,1629,"Afton Rd",,,Sycamore,IL,"DeKalb County",60178,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in DuPage County","1717 Park St, Suite 105","(630) 328-1000","(331) 702-8935",Naperville,IL," 60563",41.798577,-88.149551,1,rooftop,1717,"Park St",Ste,105,Naperville,IL,"DuPage County",60563,US,Ingham
"DHS Family Community Resource Center in Franklin County","1602 North Main Street","(618) 439-4351","(618) 435-2803",Benton,IL," 62812",38.01492,-88.920589,1,range_interpolation,1602,"N Main St",,,Benton,IL,"Franklin County",62812,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Fulton County","1329 North Main Street","(309) 547-3755","(309) 547-7310",Lewistown,IL," 61542",40.405546,-90.155043,1,range_interpolation,1329,"N Main St",,,Lewistown,IL,"Fulton County",61542,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Henry County","150 West South Street","(309) 852-5627","(309) 852-3908",Kewanee,IL," 61443",41.222631,-89.92841,1,rooftop,150,"W South St",,,Kewanee,IL,"Henry County",61443,US,Henry
